Molecule,Cluster,data,Cluster_center,Distance_to_center
2203,10,[ 0.2930821808376818 -0.3227955688023021  0.3312168246432526  0.2779537494589699 -0.0781851935623477  0.117126232274933   0.092985443324437  -0.1326699725284971 -0.0620173491362884],[ 0.017465098056698  -0.1331099329204599 -0.0250639625478628  0.1154856288383475 -0.3259263563891393 -0.0623994902111426  0.1245963648988318 -0.0906421109622006  0.0349396171174329],0.6091376855266619
2204,0,[ 0.3025930696953893 -0.0701682404971362  0.5398531407194773  0.058566504620128   0.0830982943481742  0.1409946243782663  0.1555639800473553 -0.2055430599761073 -0.354363298222483 ],[ 0.2375768505373571 -0.1545492062714881  0.063371252230152  -0.2856063441868819  0.2272977626342499 -0.0150944172334486  0.1271644770746047 -0.0965084445384889  0.0142098375542327],0.741980934503822
2205,2,[-0.6408757370139022  0.0977819697202705 -0.5134782783088129  0.6316479306723891  0.2329282523922306  0.1515955189311199  0.0577181035377013  0.0383882953024763 -0.2313803797128399],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.41992440606426584
2206,1,[ 0.4350916313630566 -0.0126741216374469 -0.0423832227883044  0.2743197398701628 -0.1080130651310404 -0.1296477152292601 -0.127644821253843  -0.110229651410386  -0.0059237327051999],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.4143490453666474
2207,1,[ 0.4795516920661829 -0.0816239546793905 -0.0222980833558333  0.3163168935815546 -0.100766113790266   0.0082894303742766 -0.1219010300171697 -0.1256791374408801 -0.1000976567522537],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.3887231907041101
2208,6,[ 0.8011684525603807 -0.0370986779518513 -0.0702973495362402  0.2976163614617792  0.0714241330901942 -0.038515525568726  -0.0527256816284078  0.1452387768160099 -0.0878438373671833],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.433771270715238
2209,6,[ 0.7796451065290995  0.0038942109424687 -0.1184474770555283  0.2534237631478079  0.0577122173684912 -0.0094710196943663 -0.0440587464217673  0.1569663161094518 -0.0884890410590016],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.45738980786633626
2210,7,[ 3.6865257629942488e-01  2.6855053683893056e-04 -4.8275924840994017e-01 -2.9563826549135025e-01  1.2709113003057129e-01  5.5747698524327385e-02 -4.1580906879213335e-02  1.4110290222272753e-02 -2.0055348822404718e-02],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.27111034848214943
2211,1,[ 0.4122481691387971 -0.1364895170477692 -0.3812078670022223 -0.1873914608809789  0.155485627971715  -0.0624701391263108 -0.0561328030207957 -0.0074818722147124 -0.0385119091332195],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.3799336465817461
2212,1,[ 0.5783795203136599  0.0225724480739636 -0.4407068552587521  0.0333346095151978 -0.0608797550814414  0.1166756819675516  0.0399049952492381  0.2536735977047039  0.1312822573057432],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.5104682631800658
2213,1,[ 0.3060894746343175 -0.0583808091950775 -0.2424595069392584  0.1535829782439268 -0.1128847738226456 -0.3273829447256609 -0.176220019832573  -0.1565787010073325  0.0724348750411224],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.48085535069517477
2214,1,[ 0.3191636906383233 -0.0806173557438576 -0.2316920633555851  0.1690533562815065 -0.1108014699687685 -0.2890338677330592 -0.1738719859278778 -0.1596269992272333  0.0566442282588009],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.4394915793635618
